Name,Gender,Nation
Aadan,m,Somalia
Cabdi,m,Somalia
Daauud,m,Somalia
Faarax,m,Somalia
Ibraahim,m,Somalia
Jaylaani,m,Somalia
Maxamed,m,Somalia
Mohamed,m,Somalia
Nuur,m,Somalia
Xasan,m,Somalia
Yuusuf,m,Somalia
Aamina,f,Somalia
Caasha,f,Somalia
Hawo,f,Somalia
Fadumo,f,Somalia
Jawaahir,f,Somalia
Khadra,f,Somalia
Maryan,f,Somalia
Sacdiyo,f,Somalia
Xaawo,f,Somalia
Xafsa,f,Somalia
Xaliima,f,Somalia
Ashkii,m,Navajo
Awee,m,Navajo
Bidziil,m,Navajo
Hastiin,m,Navajo
Klah,m,Navajo
Notah,m,Navajo
Shandiin,m,Navajo
Ajei,f,Navajo
Awee,f,Navajo
Dezba,f,Navajo
Lina,f,Navajo
Nanabah,f,Navajo
Nizhoni,f,Navajo
Shandiin,f,Navajo
Deming,m,China
Enlai,m,China
Gang,m,China
Han,m,China
Jiahao,m,China
Qiang,m,China
Tao,m,China
Xiaoping,m,China
Zhiyong,m,China
Zonghan,m,China
Ai,f,China
Fengying,f,China
Guilan,f,China
Hai,f,China
Hongmei,f,China
Lanying,f,China
Nuan,f,China
Qianqian,f,China
Shu,f,China
Yawen,f,China
Aden,m,English
Benji,m,English
Carl,m,English
Dane,m,English
Egbert,m,English
Frank,m,English
Glenn,m,English
Harmon,m,English
Irvin,m,English
Keith,m,English
Abbey,f,English
Barbie,f,English
Courtney,f,English
Darla,f,English
Elise,f,English
Geneva,f,English
Helen,f,English
Irene,f,English
Lucy,f,English
Margaret,f,English
Aamir,m,India
Bhim,m,India
Deepak,m,India
Fateh,m,India
Haseeb,m,India
Jagjit,m,India
Khawaja,m,India
Maninder,m,India
Nadim,m,India
Parth,m,India
Abeeha,f,India
Basanti,f,India
Chandrakanta,f,India
Ferdousi,f,India
Gargi,f,India
Hema,f,India
Indira,f,India
Jayanti,f,India
Kasi,f,India
Laxmi,f,India
